participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,SLOW,MEDIUM,5,1,18.0,743,0,361.0,57.0,350.9,57.9,10.16,0.523,True,300.23,19.440901097238413,35.32,-114.68,120.0,3.124594000347676
1,POINT,SLOW,MEDIUM,5,1,19.0,1359,1,158.0,178.0,156.3,171.6,6.65,0.233,True,225.37,28.589779629133183,73.17,95.11,120.0,2.304932533979367
1,POINT,SLOW,MEDIUM,5,1,20.0,1457,1,58.0,577.0,61.7,571.4,6.71,0.63,True,410.88,10.646602874323722,93.28,-75.49,120.0,4.343144556681992
1,POINT,FAST,HIGH,6,1,1.0,1585,2,357.0,526.0,341.2,529.0,16.04,0.928,True,,17.280821463173208,-130.14,34.89,134.74,
1,POINT,FAST,HIGH,6,1,2.0,1348,1,457.0,526.0,455.1,526.5,1.92,0.15,True,113.93,12.762060696276219,120.99,-65.61,137.63,2.449857366338675
1,POINT,FAST,HIGH,6,1,3.0,5534,8,185.0,20.0,190.1,23.5,6.18,0.369,True,568.51,16.757161073500676,117.73,31.78,121.95,4.1669721142821246
1,POINT,FAST,HIGH,6,1,4.0,878,0,216.0,472.0,212.0,471.9,3.97,0.259,True,448.87,15.305438609982998,-87.35,10.53,87.99,3.969356984381999
1,POINT,FAST,HIGH,6,1,5.0,1407,1,35.0,91.0,33.4,83.0,8.14,0.326,True,427.92,24.94778377753387,-42.7,64.06,76.98,3.2594702931847195
1,POINT,FAST,HIGH,6,1,6.0,1799,3,581.0,40.0,578.4,36.5,4.41,0.282,True,546.92,15.62860119238403,0.0,98.16,98.16,4.209251160642091
1,POINT,FAST,HIGH,6,1,7.0,860,0,254.0,51.0,240.8,55.7,13.97,0.691,True,338.08,20.23187846101731,-110.09,-88.41,141.19,3.2257578944193517
1,POINT,FAST,HIGH,6,1,8.0,974,0,440.0,385.0,445.5,379.6,7.72,0.705,True,383.17,10.94566472829049,87.88,-100.44,133.46,4.209708882951995
1,POINT,FAST,HIGH,6,1,9.0,1455,1,383.0,83.0,383.8,83.8,1.17,0.048,True,302.18,24.466538468912592,-138.33,46.95,146.09,2.8430538211268574
1,POINT,FAST,HIGH,6,1,10.0,888,0,203.0,102.0,198.4,98.5,5.8,0.533,True,186.07,10.879720283623529,78.44,62.46,100.28,3.2556866664195634
1,POINT,FAST,HIGH,6,1,11.0,1163,1,183.0,272.0,186.8,273.0,3.98,0.171,True,174.88,23.288509749680063,117.38,-54.57,129.45,2.2493364984893867
1,POINT,FAST,HIGH,6,1,12.0,1847,2,363.0,373.0,363.7,367.1,5.99,0.54,True,200.34,11.095154237828924,120.78,-57.7,133.85,3.3260002153157227
